proy.id,predio,localidad,rodal,conglomerado,huso,datum,x.utm,y.utm,parc,cuadrante,narb,esp,dens,dap,htot,hcc,dw.bark,dwe.tr.nobark,dw.stem,dw.branches,dw.leaves,dw.total,gw.bark,gw.stem,gw.branches,gw.leaves,gw.total,coef.redu.bark,coef.redu.stem,coef.redu.branches,coef.redu.leaves,coef.redu.total,p.dw.bark,p.dw.stem,p.dw.branches,p.dw.leaves,p.dw.total,wd
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,31,lp,,24.1,14.97,3.7,,,145.0572588,42.44371699,13.33755929,200.838535,,,,,,,,,,,,72.22581002,21.13325363,6.640936355,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,98,lp,,31.8,17.14,7.8,,,242.3062787,47.63664784,16.26809448,306.211021,,,,,,,,,,,,79.13048913,15.55680383,5.312707042,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,29,ec,,23.6,16.14,6.85,,,206.1218374,33.73833476,15.31803628,255.1782084,,,,,,,,,,,,80.77564251,13.22147959,6.0028779,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,41,ec,,28.4,18.75,9.3,,,301.850365,47.44441825,13.96263005,363.2574133,,,,,,,,,,,,83.09544526,13.06082588,3.843728864,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,44,ec,,17.1,18.43,14.3,,,106.7073918,4.920571569,1.498733433,113.1266968,,,,,,,,,,,,94.32556135,4.349611285,1.324827362,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,45,ec,,18,18.1,10.2,,,126.3595759,9.151067676,2.796862707,138.3075063,,,,,,,,,,,,91.36132904,6.616464949,2.022206011,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,49,ec,,42,18.8,11.7,,,845.1985498,101.7627888,43.52730989,990.4886485,,,,,,,,,,,,85.33147261,10.2739985,4.394528899,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,16,ec,,14.3,14.4,7.1,,,94.86503802,10.78813947,7.283577941,112.9367554,,,,,,,,,,,,83.99837383,9.552372411,6.449253755,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,27,ec,,20.3,16.55,10.25,,,155.0445643,14.18645925,11.44218774,180.6732113,,,,,,,,,,,,85.81491589,7.851999279,6.333084831,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,30,ec,,13.8,13.2,6.9,,,46.56154827,11.39313981,3.248398484,61.20308656,,,,,,,,,,,,76.07712435,18.61530267,5.307572978,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,31,ec,,31.8,17.03,6.3,,,381.4440195,88.06756762,38.43456293,507.94615,,,,,,,,,,,,75.09536581,17.33797325,7.566660941,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,66,ec,,7.2,13.5,9.45,,,17.46040754,1.928222407,0.878645637,20.26727558,,,,,,,,,,,,86.15073826,9.51396945,4.335292295,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,5,ec,,36.9,17.81,6.5,,,390.0919957,84.58262925,28.11883021,502.7934551,,,,,,,,,,,,77.58493904,16.82253983,5.592521128,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,16,ec,,38,15.98,4.15,,,521.5187625,124.856056,47.52061021,693.8954287,,,,,,,,,,,,75.15812051,17.99349741,6.848382082,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,40,ec,,30.2,16.8,8.4,,,299.4414694,44.84012432,26.4621844,370.7437781,,,,,,,,,,,,80.7677666,12.09463974,7.137593661,100,
